id;money;avg_salary;sal_cat;cat_exp;last_job_diff_cat;save_date_diff_cat;kmeans
269522;60000;35712.890625;10.0;3;4;3;5
269525;40000;44282.330279050395;6.0;3;3;3;4
269536;45000;37328.72885309749;8.0;3;3;3;5
269554;50000;40150.0;8.0;3;4;3;5
269564;25000;41372.83950617284;4.0;2;3;1;2
269583;25000;40042.152767319414;4.0;2;4;2;3
269584;30000;34825.23475164354;6.0;2;2;1;3
269594;45000;41059.24008599838;6.0;2;3;3;4
269611;13761;20704.965096890544;4.0;1;1;1;1
269618;100000;62261.37638199006;10.0;3;2;3;5
269636;30000;40042.152767319414;4.0;3;5;2;4
269637;60000;39542.35664683452;10.0;2;2;2;4
269641;44513;62261.37638199006;4.0;3;2;3;3
269662;35921;46645.73129146258;4.0;2;3;3;3
269671;11200;27221.76649305555;2.0;2;3;2;2
269725;80000;44373.85734072023;10.0;3;1;2;4
269747;35921;46645.73129146258;4.0;3;3;3;3
269776;35000;38985.65938961906;6.0;3;3;1;3
269788;33904;43639.66451767394;4.0;3;4;3;4
269796;50000;41081.25443786982;8.0;2;3;2;4
269884;12859;19439.779774927363;4.0;1;1;1;1
269885;35000;38656.97830338629;6.0;2;3;1;3
269904;20000;38656.97830338629;2.0;1;1;1;1
269937;30753;42205.7682577163;4.0;2;4;3;3
269955;40000;34022.717375526205;8.0;3;3;2;4
270007;25000;17839.94490358127;8.0;3;5;1;5
270052;37263;44126.92408186965;4.0;2;2;1;2
270079;36921;51186.28140408162;4.0;2;3;3;3
270086;40000;46304.98145956608;6.0;3;3;2;4
270090;35000;38856.98347107438;6.0;3;4;3;4
270148;30000;36811.97285899654;4.0;2;2;2;2
270159;60000;40728.37829599147;10.0;3;2;3;5
270174;40000;48301.984877126655;4.0;2;3;2;3
270210;60000;48301.984877126655;8.0;3;3;3;5
270214;25000;35308.641975308645;4.0;3;4;1;3
270234;38000;38915.04451486343;6.0;3;3;1;3
270244;26456;36960.42387543252;4.0;3;5;1;3
270256;35000;57762.747138397506;4.0;2;4;1;3
270272;32381;46258.50340136055;4.0;3;2;3;3
270274;60000;41070.72726145453;10.0;3;3;3;5
270297;80000;34586.776859504134;10.0;3;4;3;5
270316;12597;19255.322204047996;4.0;1;1;1;1
270324;25000;35511.14119117034;4.0;2;3;1;2
270328;12597;19255.322204047996;4.0;1;1;1;1
270343;45000;19255.322204047996;10.0;1;1;1;3
270348;40000;41271.245230662505;6.0;2;3;3;4
270360;45000;56807.66044313015;4.0;2;3;3;3
270372;50000;26746.807939342303;10.0;2;1;1;4
270379;40000;59529.82966501137;4.0;2;1;2;2
270395;30000;26746.807939342303;6.0;2;1;1;2
270402;50000;62792.96875;4.0;3;3;1;3
270447;60000;56807.66044313015;6.0;3;2;3;4
270455;40433;52330.83681581464;4.0;2;1;1;2
270471;70000;47830.08866017732;10.0;2;3;2;5
270527;37077;43475.34516765286;6.0;3;3;2;4
270535;100000;57294.47244094488;10.0;3;3;1;5
270538;60000;52330.83681581464;6.0;3;2;3;4
270562;30000;41381.57034354409;4.0;2;3;2;3
270569;30000;47109.4674556213;4.0;2;3;3;3
270594;30000;41381.57034354409;4.0;2;3;3;3
270597;30885;39998.92502015587;4.0;3;3;3;3
270617;40000;38594.38660027162;6.0;3;4;2;4
270661;40376;60228.93074081988;4.0;3;3;1;3
270679;44712;60621.32560502842;4.0;3;2;2;3
270693;60000;81764.86338336988;4.0;3;4;3;4
270696;53547;76263.48544429203;4.0;3;4;3;4
270697;90000;76263.48544429203;8.0;3;3;3;5
270712;40376;60228.93074081988;4.0;2;3;3;3
270746;120000;65341.52684256055;10.0;2;3;3;5
270757;25000;42576.54700661428;4.0;2;3;3;3
270793;55000;43723.865877712036;8.0;2;3;2;4
270796;45000;43723.865877712036;6.0;1;3;3;3
270808;50000;40765.30612244898;8.0;3;3;2;4
270831;56271;79161.1605860385;4.0;3;4;3;4
270838;70000;44716.4461247637;10.0;3;2;3;5
270859;40000;48972.812654473564;4.0;3;3;2;3
270874;50000;21592.537893074863;10.0;2;3;3;5
270887;45000;40765.30612244898;6.0;2;3;2;3
270890;37615;43723.865877712036;6.0;2;3;2;3
270893;70000;60095.651364494115;8.0;3;3;3;5
270903;32626;41020.74551514558;4.0;3;3;3;3
270906;40000;50613.168724279836;4.0;2;3;3;3
270924;40735;58706.75800173011;4.0;3;4;3;4
270929;36974;44555.463359245354;4.0;3;5;3;4
270944;110000;48954.894666771084;10.0;2;2;3;5
270947;60000;58706.75800173011;6.0;3;3;3;4
270961;33938;48954.894666771084;4.0;2;4;1;3
270978;43229;60095.651364494115;4.0;1;1;1;1
271014;75000;45151.6633010947;10.0;2;1;3;4
271021;80000;39874.26035502958;10.0;3;4;3;5
271025;35000;33527.387935942184;6.0;2;4;1;3
271026;15000;51890.41944114151;2.0;3;5;3;3
271042;25451;31546.753543667128;4.0;3;3;3;3
271063;80000;52219.023188046376;10.0;2;3;3;5
271120;26288;35644.92961792589;4.0;2;3;3;3
271130;41000;40873.69759367631;6.0;3;5;3;5
271135;27000;40873.69759367631;4.0;2;4;3;3
271139;75000;48612.92379636519;10.0;3;2;1;4
271147;20000;35950.413223140495;4.0;3;4;1;3
271177;10965;17124.744462809922;4.0;2;3;2;3
271189;61723;78114.0380859375;4.0;3;3;3;3
271217;25000;31355.37190082645;4.0;3;5;1;3
271226;18000;28046.875;4.0;2;3;3;3
271248;30000;20952.085625000003;8.0;2;1;3;4
271293;45000;59701.18884316416;4.0;3;5;3;4
271317;25000;40523.373220368594;4.0;2;2;1;2
271322;50000;59701.18884316416;4.0;3;2;3;3
271348;14861;22178.389428119215;4.0;2;3;3;3
271391;100000;67176.6250590851;10.0;3;3;3;5
271403;27000;39588.62296219216;4.0;2;3;3;3
271405;60000;66128.15591836734;6.0;3;3;3;4
271414;25000;37164.3897996357;4.0;3;3;1;3
271447;28000;33474.51548229004;4.0;2;4;3;3
271453;22000;30549.820109261185;4.0;3;5;3;4
271483;74000;33474.51548229004;10.0;3;5;3;5
271495;30358;42726.10882487426;4.0;2;3;3;3
271502;14960;24374.4;4.0;3;3;3;3
271508;40000;37328.72885309749;6.0;3;1;1;3
271542;40000;42376.784274193546;6.0;3;3;3;4
271547;35000;32199.792208223633;6.0;3;5;2;4
271566;40469;56878.29762654904;4.0;3;1;3;3
271574;50000;40859.01186768792;8.0;2;3;3;4
271617;25806;32199.792208223633;4.0;2;3;3;3
271655;30659;44373.85734072023;4.0;3;4;3;4
271658;25000;32923.67768595041;4.0;2;3;3;3
271675;30000;32923.67768595041;6.0;2;4;3;4
271682;30000;32557.511111111115;6.0;3;2;2;3
271754;55000;43639.66451767394;8.0;3;3;2;4
271775;32202;40252.97619047619;4.0;2;3;3;3
271794;34000;39554.328922495275;6.0;2;3;2;3
271818;45000;35280.355435370475;8.0;3;2;1;4
271820;35000;38985.65938961906;6.0;3;3;2;4
271824;30000;35280.355435370475;6.0;2;1;2;3
271854;40000;38439.41326530612;6.0;3;4;2;4
271862;80000;44056.558313004316;10.0;3;3;3;5
271885;70000;42689.332762789956;10.0;3;2;3;5
271900;30000;44056.558313004316;4.0;2;1;2;2
271905;36633;47623.333333333336;4.0;3;2;3;3
271926;30824;44056.558313004316;4.0;3;4;3;4
271972;21000;25343.944636678203;4.0;2;3;3;3
271988;11818;17839.94490358127;4.0;1;1;1;1
272001;70000;36811.97285899654;10.0;2;3;3;5
272003;23000;30311.333333333332;4.0;2;3;2;3
272055;30000;44126.92408186965;4.0;2;2;3;3
272069;28107;38826.84948979592;4.0;2;2;2;2
272078;36921;51186.28140408162;4.0;2;2;3;3
272082;30000;46304.98145956608;4.0;3;4;3;4
272155;12902;19339.907955292576;4.0;1;1;1;1
272191;15000;36758.31443688587;2.0;3;3;3;3
272193;25000;38164.09300157334;4.0;2;3;3;3
272200;50000;51112.15482118605;6.0;3;3;3;4
272228;50000;57762.747138397506;6.0;3;5;2;4
272232;25000;36758.31443688587;4.0;3;1;2;2
272242;35972;47962.962962962956;4.0;3;1;1;2
272269;35000;41070.72726145453;6.0;3;5;1;4
272277;40523;48811.466942148756;4.0;2;3;3;3
272280;20000;22187.5;6.0;3;5;3;5
272299;35702;50605.34636543289;4.0;2;3;1;2
272334;60000;64161.21299500194;6.0;3;3;1;3
272336;24800;36816.0;4.0;3;4;3;4
272343;42827;63771.36651805926;4.0;2;1;3;2
272344;42827;63771.36651805926;4.0;3;3;3;3
272354;40000;59529.82966501137;4.0;2;3;3;3
272362;57299;86075.12436554633;4.0;3;3;3;3
272384;35702;50605.34636543289;4.0;2;3;1;2
272426;45000;62009.154993018325;4.0;3;3;3;3
272428;38868;51681.801714768735;4.0;2;2;2;2
272444;30000;49169.28332556673;4.0;3;1;3;3
272480;30000;47830.08866017732;4.0;3;5;3;4
272540;23000;32982.58645613255;4.0;2;2;1;2
272573;44712;60621.32560502842;4.0;3;1;2;2
272585;90000;81764.86338336988;6.0;2;1;3;3
272595;100000;60228.93074081988;10.0;3;1;3;5
272596;40000;42422.28377962451;6.0;3;5;1;4
272604;14518;21592.537893074863;4.0;1;1;1;1
272624;60000;79161.1605860385;4.0;2;3;3;3
272640;34181;45503.7890625;4.0;2;3;3;3
272660;120000;56494.485221186274;10.0;2;3;3;5
272694;14518;21592.537893074863;4.0;1;1;1;1
272698;27000;45014.542936288075;4.0;3;1;2;2
